SKU,Component,Component_Code,Supplier,Component_Cost
EAR-VOR-0008,Bluetooth Chip,BTC,Delta Electronics,7.49
PHN-EMB-0022,Logic Board,LB,Pegatron,85.38
PHN-EMB-0022,OLED Display,OLD,Wistron,41.68
PHN-EMB-0022,Battery,BAT,Luxshare ICT,32.62
PHN-EMB-0022,Camera Module,CAM,Delta Electronics,24.12
PHN-EMB-0022,Charging Port,CHG,Wistron,9.72
PHN-EMB-0022,Speaker Unit,SPK,Quanta Computer,3.54
LAP-EMB-0020,Motherboard,MB,Delta Electronics,112.57
LAP-EMB-0020,Display Panel,DSP,Luxshare ICT,99.33
LAP-EMB-0020,Battery,BAT,Luxshare ICT,66.08
LAP-EMB-0020,SSD Storage,SSD,Pegatron,104.94
LAP-EMB-0020,RAM Module,RAM,Pegatron,50.21
LAP-EMB-0020,Keyboard Assembly,KB,Foxlink Corp,30.93
LAP-EMB-0020,Cooling Fan,FAN,Luxshare ICT,11.56
LAP-EMB-0020,Webcam Module,CAM,Wistron,5.1
WCH-ZEN-0007,Logic Board,LB,Quanta Computer,59.46
WCH-ZEN-0007,Display,DSP,Foxlink Corp,36.79
WCH-ZEN-0007,Battery,BAT,Delta Electronics,12.35
WCH-ZEN-0007,Sensor Module,SEN,Foxlink Corp,7.89
WCH-ZEN-0007,Strap/Band,STR,Pegatron,3.45
WCH-VOR-0008,Logic Board,LB,Wistron,66.45
WCH-VOR-0008,Display,DSP,Luxshare ICT,49.21
WCH-VOR-0008,Battery,BAT,Foxlink Corp,5.37
WCH-VOR-0008,Sensor Module,SEN,Luxshare ICT,7.77
WCH-VOR-0008,Strap/Band,STR,Luxshare ICT,10.24
WCH-SOL-0009,Logic Board,LB,Foxlink Corp,23.39
WCH-SOL-0009,Display,DSP,Pegatron,17.3
WCH-SOL-0009,Battery,BAT,Delta Electronics,14.9
WCH-SOL-0009,Sensor Module,SEN,Pegatron,21.35
WCH-SOL-0009,Strap/Band,STR,Foxlink Corp,13.59
WCH-EMB-0010,Logic Board,LB,Luxshare ICT,63.99
WCH-EMB-0010,Display,DSP,Foxlink Corp,48.05
WCH-EMB-0010,Battery,BAT,Delta Electronics,8.21
WCH-EMB-0010,Sensor Module,SEN,Foxlink Corp,7.24
WCH-EMB-0010,Strap/Band,STR,Luxshare ICT,14.34
EAR-VOR-0009,Battery,BAT,Luxshare ICT,2.52
EAR-VOR-0009,Speaker Driver,SPD,Quanta Computer,8.69
EAR-VOR-0009,Charging Case,CSE,Foxlink Corp,5.1
EAR-VOR-0009,Bluetooth Chip,BTC,Luxshare ICT,8.54
PHN-ZEN-0023,Logic Board,LB,Wistron,106.9
PHN-ZEN-0023,OLED Display,OLD,Wistron,77.02
PHN-ZEN-0023,Battery,BAT,Wistron,10.52
PHN-ZEN-0023,Camera Module,CAM,Foxlink Corp,56.85
PHN-ZEN-0023,Charging Port,CHG,Wistron,9.44
PHN-ZEN-0023,Speaker Unit,SPK,Pegatron,9.28
LAP-EMB-0021,Motherboard,MB,Wistron,140.6
LAP-EMB-0021,Display Panel,DSP,Foxlink Corp,130.38
LAP-EMB-0021,Battery,BAT,Foxlink Corp,59.45
LAP-EMB-0021,SSD Storage,SSD,Foxlink Corp,66.46
LAP-EMB-0021,RAM Module,RAM,Luxshare ICT,41.01
LAP-EMB-0021,Keyboard Assembly,KB,Pegatron,11.44
LAP-EMB-0021,Cooling Fan,FAN,Foxlink Corp,8.25
LAP-EMB-0021,Webcam Module,CAM,Wistron,8.17
TAB-VOR-0018,Logic Board,LB,Foxlink Corp,72.15
TAB-VOR-0018,Touch Display,TDS,Wistron,79.5
TAB-VOR-0018,Battery,BAT,Foxlink Corp,33.34
TAB-VOR-0018,Speaker Unit,SPK,Quanta Computer,2.03
TAB-VOR-0018,Charging Port,CHG,Luxshare ICT,3.86
WCH-NIM-0011,Logic Board,LB,Delta Electronics,59.84
WCH-NIM-0011,Display,DSP,Pegatron,48.85
WCH-NIM-0011,Battery,BAT,Pegatron,9.51
WCH-NIM-0011,Sensor Module,SEN,Delta Electronics,10.21
WCH-NIM-0011,Strap/Band,STR,Delta Electronics,5.69
LAP-ORB-0022,Motherboard,MB,Delta Electronics,210.13
LAP-ORB-0022,Display Panel,DSP,Foxlink Corp,114.78
LAP-ORB-0022,Battery,BAT,Foxlink Corp,66.94
LAP-ORB-0022,SSD Storage,SSD,Luxshare ICT,71.58
LAP-ORB-0022,RAM Module,RAM,Foxlink Corp,57.09
LAP-ORB-0022,Keyboard Assembly,KB,Wistron,28.84
LAP-ORB-0022,Cooling Fan,FAN,Quanta Computer,6.43
LAP-ORB-0022,Webcam Module,CAM,Luxshare ICT,11.03
LAP-VOR-0023,Motherboard,MB,Luxshare ICT,73.79
LAP-VOR-0023,Display Panel,DSP,Delta Electronics,53.27
LAP-VOR-0023,Battery,BAT,Quanta Computer,35.16
LAP-VOR-0023,SSD Storage,SSD,Pegatron,110.62
LAP-VOR-0023,RAM Module,RAM,Luxshare ICT,27.83
LAP-VOR-0023,Keyboard Assembly,KB,Quanta Computer,17.01
LAP-VOR-0023,Cooling Fan,FAN,Pegatron,6.9
LAP-VOR-0023,Webcam Module,CAM,Pegatron,9.79
TAB-SOL-0019,Logic Board,LB,Wistron,134.02
TAB-SOL-0019,Touch Display,TDS,Pegatron,84.43
TAB-SOL-0019,Battery,BAT,Quanta Computer,16.35
TAB-SOL-0019,Speaker Unit,SPK,Luxshare ICT,7.3
TAB-SOL-0019,Charging Port,CHG,Quanta Computer,5.91
PHN-NIM-0024,Logic Board,LB,Wistron,148.98
PHN-NIM-0024,OLED Display,OLD,Delta Electronics,103.71
PHN-NIM-0024,Battery,BAT,Luxshare ICT,18.35
PHN-NIM-0024,Camera Module,CAM,Delta Electronics,54.83
PHN-NIM-0024,Charging Port,CHG,Wistron,7.57
PHN-NIM-0024,Speaker Unit,SPK,Luxshare ICT,4.41
WCH-ZEN-0012,Logic Board,LB,Pegatron,61.33
WCH-ZEN-0012,Display,DSP,Delta Electronics,20.41
WCH-ZEN-0012,Battery,BAT,Luxshare ICT,17.67
WCH-ZEN-0012,Sensor Module,SEN,Pegatron,11.53
WCH-ZEN-0012,Strap/Band,STR,Delta Electronics,6.53
WCH-VOR-0013,Logic Board,LB,Delta Electronics,36.4
WCH-VOR-0013,Display,DSP,Luxshare ICT,24.05
WCH-VOR-0013,Battery,BAT,Delta Electronics,17.93
WCH-VOR-0013,Sensor Module,SEN,Foxlink Corp,24.25
WCH-VOR-0013,Strap/Band,STR,Delta Electronics,4.54
PHN-SOL-0025,Logic Board,LB,Wistron,247.09
PHN-SOL-0025,OLED Display,OLD,Quanta Computer,120.66
PHN-SOL-0025,Battery,BAT,Foxlink Corp,16.85
PHN-SOL-0025,Camera Module,CAM,Foxlink Corp,43.71
PHN-SOL-0025,Charging Port,CHG,Quanta Computer,5.53
PHN-SOL-0025,Speaker Unit,SPK,Foxlink Corp,5.71
EAR-EMB-0010,Battery,BAT,Quanta Computer,4.39
EAR-EMB-0010,Speaker Driver,SPD,Pegatron,9.24
EAR-EMB-0010,Charging Case,CSE,Wistron,14.79
EAR-EMB-0010,Bluetooth Chip,BTC,Delta Electronics,6.24
EAR-NIM-0011,Battery,BAT,Luxshare ICT,3.54
EAR-NIM-0011,Speaker Driver,SPD,Luxshare ICT,6.64
EAR-NIM-0011,Charging Case,CSE,Quanta Computer,6.67
EAR-NIM-0011,Bluetooth Chip,BTC,Pegatron,7.91
PHN-NIM-0026,Logic Board,LB,Quanta Computer,204.84
PHN-NIM-0026,OLED Display,OLD,Luxshare ICT,133.06
PHN-NIM-0026,Battery,BAT,Luxshare ICT,28.06
PHN-NIM-0026,Camera Module,CAM,Delta Electronics,46.5
PHN-NIM-0026,Charging Port,CHG,Luxshare ICT,9.12
PHN-NIM-0026,Speaker Unit,SPK,Quanta Computer,2.99
LAP-ORB-0024,Motherboard,MB,Luxshare ICT,110.08
LAP-ORB-0024,Display Panel,DSP,Quanta Computer,141.08
LAP-ORB-0024,Battery,BAT,Quanta Computer,32.12
LAP-ORB-0024,SSD Storage,SSD,Luxshare ICT,92.75
LAP-ORB-0024,RAM Module,RAM,Quanta Computer,26.73
LAP-ORB-0024,Keyboard Assembly,KB,Foxlink Corp,24.48
LAP-ORB-0024,Cooling Fan,FAN,Quanta Computer,14.32
LAP-ORB-0024,Webcam Module,CAM,Luxshare ICT,7.66
PHN-SOL-0027,Logic Board,LB,Delta Electronics,237.44
PHN-SOL-0027,OLED Display,OLD,Wistron,138.39
PHN-SOL-0027,Battery,BAT,Quanta Computer,29.45
PHN-SOL-0027,Camera Module,CAM,Foxlink Corp,52.43
PHN-SOL-0027,Charging Port,CHG,Pegatron,3.34
PHN-SOL-0027,Speaker Unit,SPK,Luxshare ICT,3.74
LAP-NIM-0025,Motherboard,MB,Delta Electronics,185.09
LAP-NIM-0025,Display Panel,DSP,Foxlink Corp,117.5
LAP-NIM-0025,Battery,BAT,Quanta Computer,62.36
LAP-NIM-0025,SSD Storage,SSD,Luxshare ICT,76.4
LAP-NIM-0025,RAM Module,RAM,Foxlink Corp,50.68
LAP-NIM-0025,Keyboard Assembly,KB,Wistron,29.18
LAP-NIM-0025,Cooling Fan,FAN,Quanta Computer,12.83
LAP-NIM-0025,Webcam Module,CAM,Quanta Computer,9.68
WCH-ORB-0014,Logic Board,LB,Luxshare ICT,30.5
WCH-ORB-0014,Display,DSP,Pegatron,21.43
WCH-ORB-0014,Battery,BAT,Foxlink Corp,14.92
WCH-ORB-0014,Sensor Module,SEN,Pegatron,19.58
WCH-ORB-0014,Strap/Band,STR,Foxlink Corp,6.62
LAP-ZEN-0026,Motherboard,MB,Quanta Computer,100.39
LAP-ZEN-0026,Display Panel,DSP,Foxlink Corp,101.96
LAP-ZEN-0026,Battery,BAT,Quanta Computer,23.76
LAP-ZEN-0026,SSD Storage,SSD,Luxshare ICT,84.71
LAP-ZEN-0026,RAM Module,RAM,Wistron,41.41
LAP-ZEN-0026,Keyboard Assembly,KB,Wistron,13.28
LAP-ZEN-0026,Cooling Fan,FAN,Pegatron,16.12
LAP-ZEN-0026,Webcam Module,CAM,Quanta Computer,11.74
PHN-ORB-0028,Logic Board,LB,Delta Electronics,153.18
PHN-ORB-0028,OLED Display,OLD,Foxlink Corp,54.22
PHN-ORB-0028,Battery,BAT,Luxshare ICT,30.24
PHN-ORB-0028,Camera Module,CAM,Luxshare ICT,23.69
PHN-ORB-0028,Charging Port,CHG,Delta Electronics,8.06
PHN-ORB-0028,Speaker Unit,SPK,Delta Electronics,8.52
EAR-SOL-0012,Battery,BAT,Luxshare ICT,4.12
EAR-SOL-0012,Speaker Driver,SPD,Quanta Computer,10.48
EAR-SOL-0012,Charging Case,CSE,Wistron,9.15
EAR-SOL-0012,Bluetooth Chip,BTC,Luxshare ICT,8.32
TAB-NIM-0020,Logic Board,LB,Quanta Computer,66.27
TAB-NIM-0020,Touch Display,TDS,Delta Electronics,65.15
TAB-NIM-0020,Battery,BAT,Quanta Computer,19.49
TAB-NIM-0020,Speaker Unit,SPK,Quanta Computer,7.5
TAB-NIM-0020,Charging Port,CHG,Quanta Computer,9.11
WCH-EMB-0015,Logic Board,LB,Luxshare ICT,20.13
WCH-EMB-0015,Display,DSP,Wistron,42.96
WCH-EMB-0015,Battery,BAT,Wistron,8.18
WCH-EMB-0015,Sensor Module,SEN,Quanta Computer,11.41
WCH-EMB-0015,Strap/Band,STR,Luxshare ICT,7.57
EAR-ORB-0013,Battery,BAT,Wistron,2.51
EAR-ORB-0013,Speaker Driver,SPD,Wistron,4.37
EAR-ORB-0013,Charging Case,CSE,Foxlink Corp,13.4
EAR-ORB-0013,Bluetooth Chip,BTC,Pegatron,3.6
WCH-ORB-0016,Logic Board,LB,Delta Electronics,65.29
WCH-ORB-0016,Display,DSP,Wistron,33.57
WCH-ORB-0016,Battery,BAT,Foxlink Corp,13.23
WCH-ORB-0016,Sensor Module,SEN,Delta Electronics,18.15
WCH-ORB-0016,Strap/Band,STR,Luxshare ICT,14.37
TAB-ORB-0021,Logic Board,LB,Pegatron,88.09
TAB-ORB-0021,Touch Display,TDS,Delta Electronics,43.63
TAB-ORB-0021,Battery,BAT,Delta Electronics,35.92
TAB-ORB-0021,Speaker Unit,SPK,Wistron,8.21
TAB-ORB-0021,Charging Port,CHG,Delta Electronics,10.06
LAP-EMB-0027,Motherboard,MB,Pegatron,204.65
LAP-EMB-0027,Display Panel,DSP,Luxshare ICT,71.83
LAP-EMB-0027,Battery,BAT,Foxlink Corp,50.42
LAP-EMB-0027,SSD Storage,SSD,Pegatron,88.5
LAP-EMB-0027,RAM Module,RAM,Wistron,74.11
LAP-EMB-0027,Keyboard Assembly,KB,Luxshare ICT,15.92
LAP-EMB-0027,Cooling Fan,FAN,Foxlink Corp,8.2
LAP-EMB-0027,Webcam Module,CAM,Quanta Computer,9.68
LAP-ORB-0028,Motherboard,MB,Foxlink Corp,167.4
LAP-ORB-0028,Display Panel,DSP,Wistron,122.16
LAP-ORB-0028,Battery,BAT,Delta Electronics,40.95
LAP-ORB-0028,SSD Storage,SSD,Pegatron,69.96
LAP-ORB-0028,RAM Module,RAM,Quanta Computer,19.38
LAP-ORB-0028,Keyboard Assembly,KB,Luxshare ICT,37.16
LAP-ORB-0028,Cooling Fan,FAN,Quanta Computer,12.37
LAP-ORB-0028,Webcam Module,CAM,Pegatron,4.48
TAB-NIM-0022,Logic Board,LB,Foxlink Corp,162.17
TAB-NIM-0022,Touch Display,TDS,Wistron,48.63
TAB-NIM-0022,Battery,BAT,Pegatron,25.1
TAB-NIM-0022,Speaker Unit,SPK,Wistron,5.98
TAB-NIM-0022,Charging Port,CHG,Wistron,10.57
EAR-EMB-0014,Battery,BAT,Luxshare ICT,4.55
EAR-EMB-0014,Speaker Driver,SPD,Luxshare ICT,3.68
EAR-EMB-0014,Charging Case,CSE,Luxshare ICT,7.96
EAR-EMB-0014,Bluetooth Chip,BTC,Pegatron,3.2
EAR-ORB-0015,Battery,BAT,Luxshare ICT,2.28
EAR-ORB-0015,Speaker Driver,SPD,Wistron,11.38
EAR-ORB-0015,Charging Case,CSE,Foxlink Corp,12.89
EAR-ORB-0015,Bluetooth Chip,BTC,Quanta Computer,6.57
PHN-VOR-0029,Logic Board,LB,Delta Electronics,206.29
PHN-VOR-0029,OLED Display,OLD,Luxshare ICT,43.73
PHN-VOR-0029,Battery,BAT,Delta Electronics,20.39
PHN-VOR-0029,Camera Module,CAM,Luxshare ICT,30.24
PHN-VOR-0029,Charging Port,CHG,Quanta Computer,6.3
PHN-VOR-0029,Speaker Unit,SPK,Pegatron,8.23
PHN-SOL-0030,Logic Board,LB,Delta Electronics,208.7
PHN-SOL-0030,OLED Display,OLD,Wistron,71.26
PHN-SOL-0030,Battery,BAT,Pegatron,20.56
PHN-SOL-0030,Camera Module,CAM,Wistron,17.37
PHN-SOL-0030,Charging Port,CHG,Quanta Computer,5.64
PHN-SOL-0030,Speaker Unit,SPK,Pegatron,5.23
EAR-ORB-0016,Battery,BAT,Pegatron,7.91
EAR-ORB-0016,Speaker Driver,SPD,Delta Electronics,6.1
EAR-ORB-0016,Charging Case,CSE,Foxlink Corp,11.2
EAR-ORB-0016,Bluetooth Chip,BTC,Wistron,5.32
LAP-SOL-0029,Motherboard,MB,Delta Electronics,174.11
LAP-SOL-0029,Display Panel,DSP,Luxshare ICT,126.24
LAP-SOL-0029,Battery,BAT,Foxlink Corp,24.38
LAP-SOL-0029,SSD Storage,SSD,Pegatron,62.89
LAP-SOL-0029,RAM Module,RAM,Pegatron,81.42
LAP-SOL-0029,Keyboard Assembly,KB,Quanta Computer,27.22
LAP-SOL-0029,Cooling Fan,FAN,Foxlink Corp,9.51
LAP-SOL-0029,Webcam Module,CAM,Quanta Computer,3.42
LAP-ZEN-0030,Motherboard,MB,Luxshare ICT,157.39
LAP-ZEN-0030,Display Panel,DSP,Pegatron,57.82
LAP-ZEN-0030,Battery,BAT,Pegatron,65.49
LAP-ZEN-0030,SSD Storage,SSD,Delta Electronics,60.72
LAP-ZEN-0030,RAM Module,RAM,Luxshare ICT,62.01
LAP-ZEN-0030,Keyboard Assembly,KB,Luxshare ICT,30.67
LAP-ZEN-0030,Cooling Fan,FAN,Foxlink Corp,6.25
LAP-ZEN-0030,Webcam Module,CAM,Quanta Computer,9.0
PHN-ORB-0031,Logic Board,LB,Delta Electronics,182.55
PHN-ORB-0031,OLED Display,OLD,Delta Electronics,51.15
PHN-ORB-0031,Battery,BAT,Quanta Computer,31.73
PHN-ORB-0031,Camera Module,CAM,Luxshare ICT,49.85
PHN-ORB-0031,Charging Port,CHG,Delta Electronics,3.12
PHN-ORB-0031,Speaker Unit,SPK,Pegatron,8.29
PHN-VOR-0032,Logic Board,LB,Wistron,197.82
PHN-VOR-0032,OLED Display,OLD,Foxlink Corp,60.33
PHN-VOR-0032,Battery,BAT,Quanta Computer,17.96
PHN-VOR-0032,Camera Module,CAM,Pegatron,40.48
PHN-VOR-0032,Charging Port,CHG,Foxlink Corp,11.4
PHN-VOR-0032,Speaker Unit,SPK,Pegatron,5.98
LAP-ZEN-0031,Motherboard,MB,Foxlink Corp,66.3
LAP-ZEN-0031,Display Panel,DSP,Quanta Computer,150.59
LAP-ZEN-0031,Battery,BAT,Quanta Computer,48.77
LAP-ZEN-0031,SSD Storage,SSD,Foxlink Corp,67.41
LAP-ZEN-0031,RAM Module,RAM,Pegatron,66.0
LAP-ZEN-0031,Keyboard Assembly,KB,Luxshare ICT,27.76
LAP-ZEN-0031,Cooling Fan,FAN,Quanta Computer,19.71
LAP-ZEN-0031,Webcam Module,CAM,Pegatron,9.93
LAP-NIM-0032,Motherboard,MB,Luxshare ICT,76.33
LAP-NIM-0032,Display Panel,DSP,Delta Electronics,111.39
LAP-NIM-0032,Battery,BAT,Quanta Computer,51.34
LAP-NIM-0032,SSD Storage,SSD,Luxshare ICT,25.45
LAP-NIM-0032,RAM Module,RAM,Foxlink Corp,65.2
LAP-NIM-0032,Keyboard Assembly,KB,Foxlink Corp,16.55
LAP-NIM-0032,Cooling Fan,FAN,Foxlink Corp,6.93
LAP-NIM-0032,Webcam Module,CAM,Pegatron,5.48
LAP-EMB-0033,Motherboard,MB,Luxshare ICT,98.76
LAP-EMB-0033,Display Panel,DSP,Foxlink Corp,146.75
LAP-EMB-0033,Battery,BAT,Luxshare ICT,38.29
LAP-EMB-0033,SSD Storage,SSD,Delta Electronics,92.79
LAP-EMB-0033,RAM Module,RAM,Foxlink Corp,69.73
LAP-EMB-0033,Keyboard Assembly,KB,Pegatron,18.79
LAP-EMB-0033,Cooling Fan,FAN,Quanta Computer,15.64
LAP-EMB-0033,Webcam Module,CAM,Wistron,9.03
PHN-EMB-0033,Logic Board,LB,Foxlink Corp,234.43
PHN-EMB-0033,OLED Display,OLD,Foxlink Corp,118.89
PHN-EMB-0033,Battery,BAT,Luxshare ICT,11.51
PHN-EMB-0033,Camera Module,CAM,Pegatron,45.9
PHN-EMB-0033,Charging Port,CHG,Wistron,3.72
PHN-EMB-0033,Speaker Unit,SPK,Pegatron,4.5
EAR-NIM-0017,Battery,BAT,Quanta Computer,3.0
EAR-NIM-0017,Speaker Driver,SPD,Wistron,8.48
EAR-NIM-0017,Charging Case,CSE,Pegatron,8.04
EAR-NIM-0017,Bluetooth Chip,BTC,Quanta Computer,8.09
LAP-ZEN-0034,Motherboard,MB,Delta Electronics,168.3
LAP-ZEN-0034,Display Panel,DSP,Foxlink Corp,175.63
LAP-ZEN-0034,Battery,BAT,Luxshare ICT,38.16
LAP-ZEN-0034,SSD Storage,SSD,Quanta Computer,40.58
LAP-ZEN-0034,RAM Module,RAM,Quanta Computer,50.77
LAP-ZEN-0034,Keyboard Assembly,KB,Pegatron,38.35
LAP-ZEN-0034,Cooling Fan,FAN,Wistron,10.01
LAP-ZEN-0034,Webcam Module,CAM,Luxshare ICT,3.55
TAB-NIM-0023,Logic Board,LB,Pegatron,141.42
TAB-NIM-0023,Touch Display,TDS,Pegatron,63.22
TAB-NIM-0023,Battery,BAT,Foxlink Corp,32.32
TAB-NIM-0023,Speaker Unit,SPK,Pegatron,8.65
TAB-NIM-0023,Charging Port,CHG,Pegatron,10.49
PHN-ZEN-0034,Logic Board,LB,Delta Electronics,147.14
PHN-ZEN-0034,OLED Display,OLD,Luxshare ICT,81.43
PHN-ZEN-0034,Battery,BAT,Delta Electronics,19.4
PHN-ZEN-0034,Camera Module,CAM,Wistron,51.34
PHN-ZEN-0034,Charging Port,CHG,Wistron,9.2
PHN-ZEN-0034,Speaker Unit,SPK,Quanta Computer,4.1
EAR-EMB-0018,Battery,BAT,Foxlink Corp,2.94
EAR-EMB-0018,Speaker Driver,SPD,Delta Electronics,5.6
EAR-EMB-0018,Charging Case,CSE,Pegatron,12.93
EAR-EMB-0018,Bluetooth Chip,BTC,Pegatron,4.03
PHN-SOL-0035,Logic Board,LB,Quanta Computer,193.23
PHN-SOL-0035,OLED Display,OLD,Foxlink Corp,78.15
PHN-SOL-0035,Battery,BAT,Quanta Computer,23.5
PHN-SOL-0035,Camera Module,CAM,Delta Electronics,50.88
PHN-SOL-0035,Charging Port,CHG,Luxshare ICT,10.09
PHN-SOL-0035,Speaker Unit,SPK,Delta Electronics,9.45
WCH-VOR-0017,Logic Board,LB,Foxlink Corp,35.47
WCH-VOR-0017,Display,DSP,Quanta Computer,38.72
WCH-VOR-0017,Battery,BAT,Wistron,14.21
WCH-VOR-0017,Sensor Module,SEN,Foxlink Corp,16.73
WCH-VOR-0017,Strap/Band,STR,Quanta Computer,12.29
LAP-VOR-0035,Motherboard,MB,Pegatron,146.49
LAP-VOR-0035,Display Panel,DSP,Foxlink Corp,154.85
LAP-VOR-0035,Battery,BAT,Pegatron,31.64
LAP-VOR-0035,SSD Storage,SSD,Wistron,74.5
LAP-VOR-0035,RAM Module,RAM,Pegatron,81.38
LAP-VOR-0035,Keyboard Assembly,KB,Pegatron,19.63
LAP-VOR-0035,Cooling Fan,FAN,Delta Electronics,13.84
LAP-VOR-0035,Webcam Module,CAM,Foxlink Corp,4.91
LAP-ORB-0036,Motherboard,MB,Luxshare ICT,88.91
LAP-ORB-0036,Display Panel,DSP,Pegatron,87.67
LAP-ORB-0036,Battery,BAT,Quanta Computer,48.22
LAP-ORB-0036,SSD Storage,SSD,Delta Electronics,99.07
LAP-ORB-0036,RAM Module,RAM,Quanta Computer,33.47
LAP-ORB-0036,Keyboard Assembly,KB,Foxlink Corp,21.22
LAP-ORB-0036,Cooling Fan,FAN,Quanta Computer,10.58
LAP-ORB-0036,Webcam Module,CAM,Delta Electronics,10.09
WCH-ZEN-0018,Logic Board,LB,Foxlink Corp,35.79
WCH-ZEN-0018,Display,DSP,Pegatron,27.07
WCH-ZEN-0018,Battery,BAT,Foxlink Corp,12.89
WCH-ZEN-0018,Sensor Module,SEN,Pegatron,5.67
WCH-ZEN-0018,Strap/Band,STR,Pegatron,8.32
PHN-NIM-0036,Logic Board,LB,Wistron,108.44
PHN-NIM-0036,OLED Display,OLD,Quanta Computer,86.85
PHN-NIM-0036,Battery,BAT,Pegatron,29.18
PHN-NIM-0036,Camera Module,CAM,Wistron,58.36
PHN-NIM-0036,Charging Port,CHG,Wistron,10.59
PHN-NIM-0036,Speaker Unit,SPK,Delta Electronics,3.61
TAB-ORB-0024,Logic Board,LB,Foxlink Corp,99.17
TAB-ORB-0024,Touch Display,TDS,Pegatron,39.33
TAB-ORB-0024,Battery,BAT,Luxshare ICT,22.35
TAB-ORB-0024,Speaker Unit,SPK,Foxlink Corp,5.67
TAB-ORB-0024,Charging Port,CHG,Luxshare ICT,10.77
